t_ms,phi_deg,ank_deg,alpha_deg,del_cmd_deg,del_now_deg
124867,0.000,14.326,14.326,40,37.793
124877,0.088,14.766,14.854,40,37.881
124887,0.066,14.634,14.700,40,37.793
124897,0.066,14.348,14.414,40,37.881
124907,0.044,14.502,14.546,40,37.793
124917,0.022,13.931,13.953,40,37.881
124927,0.066,13.931,13.997,40,37.881
124937,0.066,14.260,14.326,40,37.881
124947,0.088,14.722,14.810,40,37.881
124957,0.088,14.546,14.634,40,37.881
124967,0.000,14.524,14.524,40,37.881
124977,0.022,14.304,14.326,40,37.793
124987,0.000,14.875,14.875,40,37.793
124997,0.088,14.063,14.150,40,37.793
125007,0.154,14.436,14.590,40,37.881
125017,0.066,14.656,14.722,40,37.881
125027,0.044,14.722,14.766,40,37.793
125037,0.110,14.414,14.524,40,37.793
125047,0.066,14.238,14.304,40,37.881
125057,0.044,14.480,14.524,40,37.793
125067,0.088,14.063,14.150,40,37.881
125077,0.066,14.326,14.392,40,37.881
125087,0.066,14.019,14.084,40,37.881
125097,0.110,14.348,14.458,40,37.881
125107,0.154,14.370,14.524,40,37.793
125117,0.110,14.634,14.744,40,37.881
125127,0.022,14.304,14.326,40,37.793
125137,0.132,14.480,14.612,40,37.793
125147,0.132,14.106,14.238,40,37.881
125157,0.066,14.216,14.282,40,37.881
125167,0.066,14.810,14.875,40,37.881
125177,0.088,14.238,14.326,40,37.881
125187,0.154,14.722,14.875,40,37.793
125197,0.132,14.128,14.260,40,37.881
125207,0.132,14.282,14.414,40,37.793
125217,0.132,14.150,14.282,40,37.881
125227,0.176,14.370,14.546,40,37.793
125237,0.154,13.865,14.019,40,37.881
125247,0.132,14.304,14.436,40,37.881
125257,0.110,14.502,14.612,40,37.881
125267,0.110,14.524,14.634,40,37.793
125277,0.132,14.458,14.590,40,37.793
125287,0.110,14.634,14.744,40,37.793
125297,0.110,14.238,14.348,40,37.881
125307,0.110,14.568,14.678,40,37.793
125317,0.132,14.326,14.458,40,37.793
125327,0.088,14.788,14.875,40,37.881
125337,0.154,14.612,14.766,40,37.793
125347,0.066,14.546,14.612,40,37.881
125357,0.154,14.348,14.502,40,37.793
125367,0.132,14.348,14.480,40,37.881
130199,-0.022,10.679,10.657,30,29.180
130209,0.022,10.129,10.151,30,29.180
130219,-0.022,10.767,10.745,30,29.180
130229,0.000,10.613,10.613,30,29.180
130239,0.022,10.327,10.349,30,29.092
130249,0.000,10.415,10.415,30,29.180
130259,-0.022,11.030,11.008,30,29.180
130269,0.088,10.679,10.767,30,29.092
130279,0.044,10.569,10.613,30,29.092
130289,-0.022,10.942,10.920,30,29.180
130299,0.044,10.767,10.811,30,29.180
130309,0.000,10.767,10.767,30,29.092
130319,0.022,10.876,10.898,30,29.092
130329,0.088,10.833,10.920,30,29.180
130339,-0.044,10.261,10.217,30,29.180
130349,-0.022,11.052,11.030,30,29.092
130359,0.044,10.833,10.876,30,29.180
130369,0.022,10.964,10.986,30,29.180
130379,0.066,11.074,11.140,30,29.180
130389,-0.022,10.986,10.964,30,29.092
130399,-0.022,11.074,11.052,30,29.180
130409,-0.022,10.767,10.745,30,29.180
130419,-0.022,11.338,11.316,30,29.180
130429,-0.088,10.525,10.437,30,29.180
130439,0.022,10.767,10.789,30,29.180
130449,0.000,10.635,10.635,30,29.180
130459,0.022,10.547,10.569,30,29.180
130469,-0.022,10.745,10.723,30,29.092
130479,-0.066,10.942,10.876,30,29.180
130489,-0.022,11.228,11.206,30,29.092
130499,0.044,10.503,10.547,30,29.180
130509,-0.022,10.481,10.459,30,29.092
130519,-0.088,10.767,10.679,30,29.180
130529,-0.066,10.481,10.415,30,29.180
130539,-0.022,10.459,10.437,30,29.180
130549,-0.044,10.635,10.591,30,29.180
130559,-0.022,10.942,10.920,30,29.180
130569,0.000,10.920,10.920,30,29.092
130579,-0.044,11.140,11.096,30,29.180
130589,-0.022,10.745,10.723,30,29.092
130599,-0.022,10.569,10.547,30,29.180
130609,0.066,10.613,10.679,30,29.180
130619,-0.066,10.920,10.854,30,29.180
130629,0.022,10.833,10.854,30,29.092
130639,-0.022,10.613,10.591,30,29.180
130649,0.044,10.876,10.920,30,29.092
130659,0.000,10.789,10.789,30,29.180
130669,0.044,10.415,10.459,30,29.092
