# 형식: 읽기용 4Hz
E,169387,MOVE,0
E,171612,MOVE,10
E,173059,MOVE,0
# 출력 재개 (s 로 다시 정지)
dcmd=+0  d=+0.09 | phi=+21.53  ank=+176.73  alpha=+198.26
dcmd=+0  d=-0.18 | phi=+22.74  ank=+174.79  alpha=+197.53
dcmd=+0  d=-0.09 | phi=+21.25  ank=+175.23  alpha=+196.48
dcmd=+0  d=-0.18 | phi=+19.27  ank=+176.18  alpha=+195.45
dcmd=+0  d=-0.18 | phi=+19.27!  ank=+176.42  alpha=+195.69   << phi raw=0 >>
dcmd=+0  d=-0.18 | phi=+19.27!  ank=+175.56  alpha=+194.83   << phi raw=11463 >>
dcmd=+0  d=-0.18 | phi=+19.27!  ank=+174.46  alpha=+193.73   << phi raw=11454 >>
dcmd=+0  d=-0.18 | phi=+19.27!  ank=+174.75  alpha=+194.02   << phi raw=11430 >>
dcmd=+0  d=-0.18 | phi=+19.27!  ank=+175.14  alpha=+194.41   << phi raw=11406 >>
dcmd=+0  d=-0.18 | phi=+19.27!  ank=+175.25  alpha=+194.52   << phi raw=11425 >>
dcmd=+0  d=-0.18 | phi=+19.27!  ank=+175.69  alpha=+194.96   << phi raw=11412 >>
dcmd=+0  d=-0.18 | phi=+19.27!  ank=+175.72  alpha=+194.99   << phi raw=11405 >>
dcmd=+0  d=-0.18 | phi=+19.27!  ank=+175.94  alpha=+195.21   << phi raw=11404 >>
dcmd=+0  d=-0.18 | phi=+19.27!  ank=+175.74  alpha=+195.01   << phi raw=0 >>
dcmd=+0  d=-0.18 | phi=+19.27!  ank=+175.56  alpha=+194.83   << phi raw=11376 >>
dcmd=+0  d=-0.18 | phi=+19.27!  ank=+175.69  alpha=+194.96   << phi raw=11356 >>
dcmd=+0  d=-0.18 | phi=+19.27!  ank=+176.53  alpha=+195.80   << phi raw=0 >>
dcmd=+0  d=-0.18 | phi=+19.27!  ank=+174.59  alpha=+193.86   << phi raw=11319 >>
dcmd=+0  d=-0.18 | phi=+19.27!  ank=+174.68  alpha=+193.95   << phi raw=11332 >>
dcmd=+0  d=-0.18 | phi=+19.27!  ank=+175.32  alpha=+194.59   << phi raw=0 >>
dcmd=+0  d=-0.09 | phi=+19.27!  ank=+176.73  alpha=+196.00   << phi raw=0 >>
dcmd=+0  d=-0.09 | phi=+19.27!  ank=+176.66  alpha=+195.93   << phi raw=0 >>
dcmd=+0  d=-0.18 | phi=+19.27!  ank=+176.46  alpha=+195.73   << phi raw=0 >>
dcmd=+0  d=-0.09 | phi=+19.27!  ank=+177.03  alpha=+196.30   << phi raw=0 >>
dcmd=+0  d=+0.00 | phi=+19.27!  ank=+177.80  alpha=+197.07   << phi raw=0 >>
dcmd=+0  d=+0.09 | phi=+19.27!  ank=+178.51  alpha=+197.78   << phi raw=0 >>
dcmd=+0  d=-0.18 | phi=+19.27!  ank=+179.01  alpha=+198.28   << phi raw=0 >>
dcmd=+0  d=-0.18 | phi=+19.27!  ank=+179.54  alpha=+198.81   << phi raw=0 >>
dcmd=+0  d=-0.18 | phi=+19.27!  ank=+179.23  alpha=+198.50   << phi raw=0 >>
dcmd=+0  d=-0.09 | phi=+19.27!  ank=+178.88  alpha=+198.15   << phi raw=0 >>
dcmd=+0  d=+0.26 | phi=+19.27!  ank=+177.10  alpha=+196.37   << phi raw=0 >>
dcmd=+0  d=-0.97 | phi=+19.27!  ank=+151.83  alpha=+171.10 | alpha/d=-176.977   << phi raw=10925 >>
dcmd=+0  d=+4.48 | phi=+19.27!  ank=+133.00  alpha=+152.27 | alpha/d=33.971   << phi raw=10935 >>
dcmd=+0  d=+4.04 | phi=+19.27!  ank=+136.38  alpha=+155.65 | alpha/d=38.500   << phi raw=10817 >>
dcmd=+0  d=+2.90 | phi=+19.27!  ank=+141.57  alpha=+160.84 | alpha/d=55.455   << phi raw=10858 >>
dcmd=+0  d=+4.04 | phi=+19.27!  ank=+149.90  alpha=+169.17 | alpha/d=41.842   << phi raw=10934 >>
dcmd=+0  d=+2.02 | phi=+19.27!  ank=+160.82  alpha=+180.09 | alpha/d=89.087   << phi raw=10973 >>
dcmd=+0  d=+4.04 | phi=+19.27!  ank=+168.60  alpha=+187.87 | alpha/d=46.467   << phi raw=11076 >>
dcmd=+0  d=+0.88 | phi=+19.27!  ank=+174.99  alpha=+194.26 | alpha/d=221.025   << phi raw=11189 >>
dcmd=+0  d=+4.04 | phi=+19.27!  ank=-179.43  alpha=-160.16 | alpha/d=-39.614   << phi raw=11055 >>
dcmd=+0  d=+0.18 | phi=+6.81  ank=-175.96  alpha=-169.15
dcmd=+0  d=+4.04 | phi=+5.52  ank=-176.09  alpha=-170.57 | alpha/d=-42.190
dcmd=+0  d=+0.44 | phi=+1.27  ank=-170.90  alpha=-169.63
dcmd=+0  d=+4.04 | phi=-5.01  ank=-170.13  alpha=-175.14 | alpha/d=-43.321
dcmd=+0  d=-0.35 | phi=-5.87  ank=-172.00  alpha=-177.87
dcmd=+0  d=+4.04 | phi=-6.42  ank=-172.33  alpha=-178.75 | alpha/d=-44.212
dcmd=+0  d=-0.26 | phi=-7.16  ank=-172.20  alpha=-179.36
dcmd=+0  d=+4.04 | phi=-8.31  ank=-170.64  alpha=-178.95 | alpha/d=-44.261
dcmd=+0  d=+0.18 | phi=-10.26  ank=-169.98  alpha=-180.24
dcmd=+0  d=+4.04 | phi=-11.14  ank=-170.90  alpha=-182.04 | alpha/d=-45.027
dcmd=+0  d=+0.35 | phi=-11.49  ank=-164.33  alpha=-175.83
dcmd=+0  d=-0.26 | phi=-13.91  ank=-156.97  alpha=-170.88
dcmd=+0  d=-0.18 | phi=-12.24  ank=-149.50  alpha=-161.74
dcmd=+0  d=+0.00 | phi=-9.47  ank=-146.98  alpha=-156.45
dcmd=+0  d=+0.26 | phi=-12.35  ank=-147.02  alpha=-159.37
dcmd=+0  d=+0.09 | phi=-14.00  ank=-145.83  alpha=-159.83
dcmd=+0  d=+0.18 | phi=-13.89  ank=-144.76  alpha=-158.64
# 출력 정지 — s 로 재개 (명령은 계속 먹음)
# D,t_ms,phi_deg,ank_deg,alpha_deg,del_cmd_deg,del_now_deg
# 형식: 100Hz CSV (로거용)
# 형식: 읽기용 4Hz
# 출력 재개 (s 로 다시 정지)
dcmd=+0  d=-0.18 | phi=+0.40  ank=-1.56  alpha=-1.16
dcmd=+0  d=-0.09 | phi=+0.59  ank=-1.05  alpha=-0.46
dcmd=+0  d=-0.18 | phi=+0.57  ank=-0.77  alpha=-0.20
dcmd=+0  d=-0.18 | phi=+0.53  ank=-0.90  alpha=-0.37
dcmd=+0  d=-0.18 | phi=+0.22  ank=-1.38  alpha=-1.16
dcmd=+0  d=-0.18 | phi=+0.02  ank=-0.92  alpha=-0.90
dcmd=+0  d=-0.09 | phi=-0.07  ank=-1.14  alpha=-1.21
